document.id,topic.id,method,score
3671,4.28,exact-match,0.0
3671,4.41,exact-match,0.0
3671,4.527,exact-match,0.0
3671,4.552,exact-match,0.0
3671,4.52,exact-match,0.0
3671,4.307,exact-match,0.0
3671,4.168,exact-match,0.0
3671,4.165,exact-match,0.0
3671,4.391,exact-match,0.0
3671,4.199,exact-match,0.0
3671,4.282,exact-match,0.0
3671,4.210,exact-match,0.0
3671,4.397,exact-match,0.0
3671,4.407,exact-match,0.0
3671,4.629,exact-match,0.0
3671,4.207,exact-match,0.0
3671,4.306,exact-match,0.0
3671,4.99,exact-match,0.0
3671,4.684,exact-match,0.0
3671,4.632,exact-match,0.0
3671,4.285,exact-match,0.0
3671,4.432,exact-match,0.0
3671,4.68,exact-match,0.0
3671,4.22,exact-match,0.0
3671,4.730,exact-match,0.0
3671,4.170,exact-match,0.0
3671,4.745,exact-match,0.0
3671,4.483,exact-match,0.0
3671,4.623,exact-match,0.0
3671,4.771,exact-match,0.0
3671,4.350,exact-match,0.0
3671,4.339,exact-match,0.0
3671,4.136,exact-match,0.0
3671,4.142,exact-match,0.0
3671,4.143,exact-match,0.0
3671,4.609,exact-match,0.0
3671,4.470,exact-match,0.0
3681,4.563,exact-match,0.0
3681,4.725,exact-match,0.0
3681,4.103,exact-match,0.0
3681,4.34,exact-match,0.0
3681,4.519,exact-match,0.0
3681,4.400,exact-match,0.0
3681,4.166,exact-match,0.0
3681,4.638,exact-match,0.0
3681,4.226,exact-match,0.0
3681,4.90,exact-match,0.0
3681,4.387,exact-match,0.0
3681,4.536,exact-match,0.0
3681,4.475,exact-match,0.0
3681,4.541,exact-match,0.0
3681,4.683,exact-match,0.0
3681,4.401,exact-match,0.0
3681,4.717,exact-match,0.0
3681,4.331,exact-match,0.0
3681,4.497,exact-match,0.0
3681,4.651,exact-match,0.0
